,titre,contenu
0,Lutte contre les déserts médicaux,"Je lutterai contre les déserts médicaux en retirant le conventionnement aux médecins qui s’installent en zone surdotée. Cette mesure n’entrave en rien la liberté d’installation du médecin, qui peut toujours choisir de s’y installer : il ne bénéficiera simplement plus du conventionnement. J’encouragerai le développement de maisons de santé pluridisciplinaires rassemblant des médecins libéraux, appuyés pour les tâches administratives par un gestionnaire des fonctions support."
1,Abrogation de la loi Travail,"J’abrogerai immédiatement la loi Travail. Je rétablirai la hiérarchie des normes afin que notre code du travail continue de prévaloir sur les accords négociés par les branches et les entreprises, sauf lorsque les accords apportent une protection supplémentaire aux salarié.e.s."
2,Un budget de 1% du PIB dédié à la culture,"Je porterai le budget consacré au développement et à la diffusion de l’art et de la culture à 1% du PIB. Émancipatrice et créatrice de lien social, la culture est essentielle à la République. C’est la raison pour laquelle je souhaite rééquilibrer le soutien de l’Etat entre tous les acteurs de la culture. Les droits culturels reconnus par l’article 28 de la loi NOTRe nous permettront d’élaborer des schémas directeurs entre l’Etat et les collectivités locales pour que tous les territoires bénéficient des fonds dont ils ont besoin, et de mettre l’accent sur le soutien à l’entrepreneuriat culturel. "
3,Création d’un Revenu universel d’existence,"Je mettrai en place un revenu universel d’existence pour éradiquer la grande précarité et contribuer à définir un nouveau rapport au travail. Pour la première étape, dès 2018, le RSA sera augmenté de 10% à hauteur de 600€ et versé automatiquement à tous les ayant-droits. La même année, un revenu d’existence sera versé à tous les jeunes de 18 à 25 ans quel que soit leur niveau de ressources. Une grande conférence citoyenne sera ensuite lancée. Elle permettra de fixer le périmètre du revenu universel (montant, financement, articulation avec les autres allocations sociales, calendrier de mise en oeuvre). Ce revenu sera ensuite étendu à l’ensemble de la population. A terme, il atteindra la somme de 750 euros."
4,Mise en place d’un statut social unique de l’actif,"Je créerai un statut unique pour tous les actifs afin de dépasser la distinction entre salariat et travail indépendant. Je rendrai ce statut plus protecteur selon le degré de vulnérabilité des actifs, à partir du socle commun du droit du travail et de la protection sociale. J’améliorerai la couverture retraite complémentaire et la couverture accident du travail/maladie professionnelle des indépendants. J’équilibrerai les prélèvements sociaux afin qu’à revenus égaux, un indépendant et un salarié cotisent du même montant."
5,"Oui au travail indépendant, non à l’ubérisation débridée","Je lutterai contre le salariat déguisé des entreprises ubérisées. Je requalifierai leurs « collaborateurs » en salariés. Il faut que l’employeur.euse paye ses cotisations sociales, et que ces salarié.e.s bénéficient de leurs droits (congés, protection contre les licenciements abusifs). Je lutterai contre leurs montages d’optimisation fiscale, semblables à ceux utilisés par les autres géants du net (les GAFA). Je refuserai que ces entreprises bénéficient de nos services publics sans contribuer à l’impôt."
6,Plan d’investissements dans la rénovation énergétique,Je lancerai un plan massif d’investissements dans la rénovation énergétique des bâtiments afin de réduire notre consommation d’énergie et lutter contre la précarité énergétique. Ce plan comprendra trois priorités : La réhabilitation thermique des logements sociaux; Un plan ambitieux d’accompagnement des initiatives du secteur privé avec des aides renforcées et conditionnées au recours à des artisans labellisés (soutien des PME) ; Une protection des foyers en situation de précarité énergétique avec un véritable bouclier “énergie” (chèque énergie…) pour éviter les situations de privation.
7,Annulation de la dette contractée par les pays de l’UE,"J’organiserai avec nos partenaires européens l’annulation de la dette accumulée depuis 2008 par les pays membres les plus endettés et détenue par les Etats membres de l’UE. Il faut desserrer l’étau qui étouffe les pays du Sud. Je ferai de même pour une mutualisation de la dette européenne : il faut que les Etats soient solidaires en se portant caution mutuellement sur leur dette actuelle et en émettant pour l’avenir une dette commune. Enfin, j’œuvrerai pour faire évoluer les statuts de la BCE et faciliter le financement direct de la dette des Etats."
8,Création d’une taxe sur les robots,"Je créerai une taxe sur la richesse créée par les robots afin de financer notre protection sociale. Lorsqu’un.e travailleur.euse est remplacé par une machine, la richesse créée bénéficie essentiellement aux actionnaires. Je propose donc de taxer cette richesse – en appliquant les cotisations sociales sur l’ensemble de la valeur ajoutée et non plus seulement sur le travail – pour qu’elle finance prioritairement des mesures telles que le revenu universel plutôt que les dividendes."
9,Reconnaissance d’un statut de l’artiste,"Je donnerai corps à un statut de l’artiste afin de donner toute la reconnaissance qu’ils mérite à celles et ceux qui se consacrent à la création. Tout en préservant le statut de l’intermittent, il nous faut prévoir une couverture sociale pour les artistes qui n’entrent pas dans le champ du spectacle comme les auteurs, les scénaristes ou les compositeurs. Ce progrès social pourra s’inscrire dans le cadre du statut unique de l’actif que j’appelle de mes voeux. "
10,Plus de pluralisme dans la recherche et l’enseignement de l’économie,"Je soutiendrai la création d’une nouvelle section « Economie et société » au Conseil National des Universités. A l’opposé de la « bien-pensance économique » qui nous a mené dans le mur avec la crise des subprimes, nous avons besoin d’économistes capables d’imaginer des politiques diverses, d’éclairer le débat public en ouvrant l’économie sur le monde et sur ses liens avec les autres sciences sociales. C’est avant tout un enjeu démocratique. "
11,"Sanctuarisation des biens communs (air, eau, sols)","Je sanctuariserai les biens communs en inscrivant leur protection dans la Constitution. L’eau, l’air et la terre, ainsi que la biodiversité, sont des biens communs que nous devons protéger contre toute dégradation ou risque de captation privée. Face au marché qui privilégie leur exploitation à court-terme, les Etats doivent être les garants de la protection des ressources naturelles et les citoyens les vigies de cette protection."
12,Stop aux pesticides et aux perturbateurs endocriniens,"J’interdirai immédiatement les pesticides dangereux et les perturbateurs endocriniens pour prévenir les effets nocifs de ces substances sur la santé de nos enfants et de nos concitoyen.ne.s. J’appliquerai le principe de précaution : je retirerai les autorisations de tous les pesticides dangereux et j’interdirai l’importation des denrées alimentaires utilisant une substance interdite en France. Au niveau européen, nous labelliserons les pesticides pour conditionner les subventions de la PAC au respect de hautes exigences en la matière."
13,Grande conférence Ecologie-Prévention-Santé,"Je lancerai une grande conférence nationale Ecologie-Prévention-Santé dans les six mois après la présidentielle qui fera de la France la nation pionnière et fer de lance en Europe dans ce domaine. Nous ne pourrons pas régler la question écologique sans un vaste mouvement citoyen. Forts de cette dynamique, nous impulserons un grand projet européen de progrès social et écologique, afin de remobiliser les Européens autour de nos valeurs communes."
14,Défense de nos intérêts face au libéralisme économique,"Je suspendrai immédiatement l’application de l’accord de libre-échange avec le Canada, le CETA, afin de protéger nos préférences collectives en matière d’environnement, de santé et de protection sociale. Je veillerai à ce que le TAFTA et le TISA ne voient pas le jour. Je proposerai un nouveau modèle de coopération internationale respectant les souverainetés démocratiques, le progrès social et environnemental."
15,Une véritable convergence sociale européenne,"Je proposerai un processus de convergence sociale qui débutera par un salaire minimum par pays à hauteur de 60% du salaire moyen. La directive sur les travailleurs détachés sera révisée pour garantir le respect du principe « à travail égal, salaire égal »: lutte contre la fraude des sous-traitants, renforcement des inspections du travail et des contrôles sur les chantiers."
16,Mesures immédiates de soutien au pouvoir d’achat,"Je revaloriserai immédiatement les minima sociaux à hauteur de 10%, le SMIC, et le point d’indice de la fonction publique."
17,Une nouvelle étape dans le partage du temps de travail,"Je propose d’organiser la baisse du temps de travail par un droit inconditionnel au temps partiel accompagné d’une compensation salariale, et d’inciter financièrement les entreprises à valoriser la réduction du temps de travail, mesure pouvant être notamment financée par une réaffectation du CICE. Les entreprises seront incitées à le faire selon des formes multiples (semaines de 4 jours, congé sabbatique, temps partiel). La durée légale sera maintenue à 35h."
18,Un visa humanitaire pour une protection temporaire,"Je créerai un visa humanitaire. Il ouvrira aux personnes en situation de détresse humanitaire une voie d’accès légale et sécurisée au territoire français, pour un accueil et une protection temporaires. De plus en plus, les réfugiés fuient la guerre, la répression, la détresse économique ou climatique. La France doit être en mesure de les accueillir et de les protéger."
19,Droit de mourir dans la dignité,"Je créerai le droit à une aide médicale pour mourir dans la dignité pour toutes les personnes atteintes d’une maladie incurable qui le demandent, au moment où elles le demandent. La dignité est un droit primordial qui doit être garanti tout au long de la vie, y compris dans les moments les plus difficiles."
20,Objectif de 50% d’énergies renouvelables dès 2025,Je créerai une aide pour permettre aux citoyens de s’équiper en matériel de production d’énergie renouvelable domestique.
21,13 agences régionales pour un développement tempérant,"Je créerai dans chacune des grandes régions une agence du développement des nouveaux modes de production et de consommation. Notre modèle productiviste et court-termiste doit laisser la place à un modèle de développement tempérant, écologique, et humain. Ces agences devront, en coordination avec les collectivités locales, favoriser les circuits courts, mobiliser le numérique pour relier producteurs et consommateurs, utiliser la commande publique pour valoriser les initiatives responsables et généraliser les contrats de filière agro-écologique."
22,Une plus grande attention à la situation sociale des militaires,"J’accorderai toute l’attention qu’elle mérite à la situation sociale de nos militaires. Afin de réduire le mal-être dans l’armée, je mettrai fin à la décrue des effectifs et j’améliorerai la couverture sociale des militaires ainsi que celle de leur famille. Pour celles et ceux qui interviennent dans les théâtres d’opérations extérieures, je renforcerai le sas de décompression qui accompagne sur le plan psychologique nos militaires au moment du retour au pays. Ces mesures iront de pair avec une meilleure gestion des carrières des militaires, notamment pour faciliter leur reconversion vers la vie civile."
23,Reconnaissance du burnout comme maladie professionnelle,"Je ferai reconnaître le syndrome d’épuisement professionnel, dit « burn out », comme une maladie professionnelle. Grâce à cette mesure, les entreprises seront reconnues responsables de la souffrance au travail de leurs salariés. Elles seront contraintes soit d’en assumer le coût (soins, prévention), soit de modifier en profondeur leurs méthodes de management."
24,Plus de centres d’accueil du planning familial,"Je rouvrirai des centres d’accueil du Planning Familial dans toute la France pour donner à chaque femme le droit effectif de s’informer et de disposer de son corps. Le planning familial offre un accompagnement complet pour l’IVG (réponse aux questions, possibilité d’accompagnement pour les mineurs…) et pourtant, les inégalités territoriales sont encore très fortes, notamment dans les milieux ruraux ou pour les jeunes qui ne peuvent pas se déplacer seuls."
25,Renforcement de la lutte contre l’évasion fiscale,"Je mettrai en place un reporting public pays par pays pour toutes les entreprises afin d’identifier les activités de leur filiale et repérer les sociétés « boîtes aux lettres ». Je renforcerai les moyens et les effectifs de la direction générale des finances publiques pour pouvoir identifier et poursuivre les fraudeurs. J’adapterai notre fiscalité  et nos règles constitutionnelles pour que les GAFA (Google, Amazon, Facebook et Apple) n’y échappent plus alors qu’ils ont un établissement stable en France."
26,Facilitation de la reprise en SCOP par les salarié.e.s,Je faciliterai la reprise d’entreprises par les salarié.e.s en améliorant les formations professionnelles sur le fonctionnement des SCOP et en mettant en place une assistance technique de l’Etat (la DIRECCTE) lors de la création du dossier de reprise.
27,Sortie du diesel à l’horizon 2025,"Je ferai sortir la France du diesel à l’horizon 2025 pour lutter contre la pollution de l’air, responsable de la mort de 49 000 Français.e.s chaque année. Je mettrai fin à l’avantage fiscal accordé au diesel, je ferai installer des bornes de recharge électrique sur tout le territoire et je financerai la recherche pour l’autonomie des batteries pour voiture électrique."
28,Réduction du coût du capital et des dividendes,"En France, le partage des bénéfices se fait trop souvent en faveur des dividendes et au détriment de l’investissement. Je réduirai le coût du capital en modulant l’impôt sur les sociétés en fonction de la part de bénéfices réinvestis. Je conditionnerai les crédits d’impôt consentis chaque année par le CICE à la réalisation d’objectifs de création de postes, de progrès écologiques, et d’une réduction du temps de travail."
29,Un programme d’investissements pour développer le bio et l’agroécologie,"Je lancerai un programme d’investissements agricoles pour soutenir les projets de développement agroécologique, les circuits-courts et les coopératives et faciliter l’installation des jeunes agriculteurs qui souhaitent reconvertir des exploitations en fermes bio ou agroécologiques."
30,Relance de l’Europe par la transition énergétique,"Je construirai et proposerai un plan d’investissement de 1000 milliards centré sur la transition écologique et à destination prioritaire des zones de l’Europe les plus défavorisés. Il nous appartient de reconstruire la légitimité de l’Union Européenne sur cette thématique fondamentale pour l’avenir des peuples via une contribution ambitieuse des Etats, le fléchage des financements privés vers les investissements verts grâce à des mécanismes incitatifs et la suppression de toutes les subventions aux énergies fossiles."
31,Des conseils d’administration plus représentatifs,"Je renforcerai la représentativité des conseils d’administration et de surveillance des sociétés selon la règle des trois tiers : 1/3 de sièges pour les représentant.e.s des actionnaires 1/3 des sièges pour les représentant.e.s des salarié.e.s (administrateurs.trices muni.e.s de droits de vote, désigné.e.s par les organisations syndicales selon leur représentativité) 1/3 de sièges pour les représentant.e.s des parties extérieures affectées (clients, fournisseurs, collectivités locales, ONG, sous-traitants)."
32,La finance mise au service de la transition écologique,Je mettrai la finance au service de la transition écologique pour trouver les 60 milliards d’euros nécessaires sans attendre le bon vouloir du marché. J’instaurerai une TVA différenciée pour les produits à faible empreinte carbone afin de les rendre plus attractifs. Je rendrai la fiscalité incitative pour guider l’épargne des Français vers des investissements verts.
