,proposition
0,"Nous élargirons les horaires d’ouverture des services publics pour les adapter aux contraintes des usagers : certains services publics ouvriront le samedi et en soirée, afin d’être plus facilement accessibles par tous les usagers, et notamment ceux qui travaillent toute la semaine et en journée."
1,"D’ici 2022, 100% des démarches administratives pourront être effectuées depuis Internet – sauf première délivrance des documents d’identité officiels."
2,"Nous créerons un compte citoyen en ligne (site et application), qui rassemblera sur une même interface tous les droits, notamment ceux liés à la santé, à la trajectoire professionnelle, à la formation, à la situation fiscale, aux droits civiques."
3,"D’ici la fin 2017, les directeurs d’administration centrale et les principaux dirigeants des organismes publics seront nommés ou confirmés au terme d’une procédure transparente, après revue de compétences et entretien."
4,"S’ils décident de quitter le service de l’État, les hauts fonctionnaires ne pourront plus, au-delà d’une certaine période, cumuler les rémunérations offertes par le secteur privé et la sécurité procurée par la faculté de retourner à leur guise dans le service public."
5,"Dans la fonction publique, nous limiterons à cinq ans la durée de mise en disponibilité ou de détachement des fonctionnaires dans des entreprises à caractère commercial."
6,Nous garantirons la transparence sur la qualité et l’efficacité des services publics partout en France.
7,Nous créerons 10 000 postes de policiers et gendarmes supplémentaires. Nous ouvrirons 12 000 postes de professeurs des écoles dans les classes de CP et de CE1 dans les zones prioritaires.
8,Nous réduirons le nombre d’agents publics de 120 000 emplois sur la durée du quinquennat.
9,Les ministres seront comptables du respect des objectifs de dépense publique qui leur auront été assignés.
10,Nous mettrons fin à l’évolution uniforme des rémunérations de toutes les fonctions publiques afin de mieux prendre en compte les spécificités de chacune.
11,"En concertation avec les élus, nous simplifierons l’administration territoriale en confiant aux services des métropoles les compétences des conseils départementaux où elles se situent."
12,Les agents publics bénéficieront d’un meilleur pouvoir d’achat grâce au basculement des cotisations salariales vers la CSG.
13,"Nous développerons l’expérimentation de nouvelles façons de travailler et de servir les usagers, puis évaluerons rigoureusement les résultats afin de repérer et de généraliser les meilleurs dispositifs."
14,Les grandes lois seront systématiquement évaluées de manière indépendante.
15,Nous introduirons plus de souplesse dans la gestion des carrières avec des rémunérations plus individualisées et la promotion des mobilités.
16,"Le statut des fonctionnaires ne sera pas remis en cause, mais il sera modernisé et décloisonné, par un assouplissement du système rigide des corps."
17,Nous recruterons un quart au moins des directeurs d’administration centrale en dehors de la fonction publique sur la base d’appels à candidatures ouverts visant à identifier les meilleures compétences techniques et managériales.
18,Nous éliminerons les contraintes statutaires qui restreignent l’accès aux postes d’encadrement supérieur dans la fonction publique.
19,"Nous développerons le recrutement sur contrat dans les fonctions non-régaliennes, afin de permettre au service public d’attirer des professionnels d’expérience en fonction des besoins."
20,Nous agirons pour que les agriculteurs pèsent plus dans leurs négociations avec les industriels de l’agro-alimentaire.
21,"Nous encouragerons le développement de véritables organisations de producteurs, avec des capacités de négociations renforcées pour peser plus dans les négociations commerciales avec les centrales d’achat de la grande distribution."
22,"Nous organiserons un Grenelle de l’alimentation avec les représentants des agriculteurs, des industries de transformation, de la distribution et des consommateurs, afin de définir un partage équilibré de la valeur."
23,Nous protégerons les agriculteurs contre la volatilité des prix par la mise en place d’outils de régulation adaptés à chaque filière.
24,Nous proposerons des outils de gestion des risques efficaces et adaptés.
25,Nous permettrons aux agriculteurs de conserver les mêmes règles du jeu pour être compétitifs : favoriser la convergence sociale et fiscale au niveau européen.
26,Nous créerons un droit à l’erreur pour tous.
27,Nous donnerons droit au chômage aux agriculteurs pour leur permettre de surmonter les périodes de baisse d’activité.
28,Nous adapterons la formation agricole et faciliterons la formation professionnelle tout au long de la vie pour permettre aux agriculteurs de profiter des nouvelles connaissances.
