,numéro,titre,introduction,mesures
0,1,Réunir une Assemblée constituante,"La nouvelle Constitution dont la France a besoin doit être radicalement nouvelle, y compris dans sa méthode d'écriture : elle ne peut être un simple rafistolage de la 5e République, ni se résumer à quelques réformes octroyées par le futur président de la République. C'est le peuple lui-même qui doit s'emparer de la question et s'impliquer tout au long d'un processus constituant. Nous proposons la convocation d'une assemblée spécifiquement chargée de rédiger une nouvelle Constitution sous le contrôle des citoyens : une Assemblée constituante. Nous soumettrons à ses travaux des propositions pour une 6e République démocratique, égalitaire, instituant de nouveaux droits et imposant l'impératif écologique.","Convoquer un référendum (article 11 de la Constitution) pour engager le processus constituant (modalités de la composition de l'Assemblée constituante — mode de scrutin, parité, tirage au sort et incompatibilités ; modalités de la délibération ; association des citoyens aux travaux…). Aucun parlementaire des anciennes assemblées de la 5e République ne pourra siéger dans cette Assemblée constituante. Les délégués à l'Assemblée constituante ne pourront être candidats aux élections suivant l'entrée en vigueur de la nouvelle Constitution. Le projet de Constitution proposé par l'Assemblée constituante sera soumis à un référendum d'approbation."
1,2,"Balayer l'oligarchie, abolir les privilèges de la caste","La démocratie française est malade des privilèges, de l'argent-roi et de la collusion entre politique et finance. Une caste de privilégiés, coupée des réalités de la vie du peuple, a confisqué le pouvoir. Cela doit cesser : la vertu doit être au centre de l'action politique.","Rendre inéligible à vie toute personne condamnée pour corruption. Supprimer le monopole du déclenchement de poursuites judiciaires par l'administration fiscale en cas de fraude : la justice doit pouvoir enquêter librement et de sa propre initiative, même contre l'avis du ministre. Combattre la pollution du débat parlementaire par les lobbies, interdire l'entrée des lobbyistes dans l'enceinte du Parlement et les cadeaux faits aux parlementaires. Mettre fin au pantouflage : tout haut fonctionnaire souhaitant travailler dans le privé devra démissionner de la fonction publique et rembourser le prix de sa formation s'il n'a pas servi au moins dix ans, supprimer le concours externe de l'ENA pour toute personne n'ayant jamais travaillé, durcir les règles contre les conflits d'intérêts, allonger les périodes d'interdiction d'exercer une fonction privée après avoir exercé une activité publique dans le même secteur. Appliquer les recommandations d'Anticor et de Transparency International visant à empêcher la corruption et à rapprocher les représentants des représentés, notamment obliger un élu à rendre publique sa déclaration de patrimoine transmise à la Haute autorité pour la transparence de la vie publique et supprimer la réserve parlementaire (enveloppe financière dépensée sans vote du Parlement, selon le bon vouloir de chaque parlementaire). Mettre fin à l'usurpation par le Medef de la parole des chefs d'entreprise : fonder la représentativité des organisations patronales sur la base d'élections, comme c'est déjà le cas pour les syndicats de salariés."
2,3,Une République permettant l'intervention populaire,Le peuple est systématiquement tenu à l'écart des décisions. Tout au plus a-t-il le droit de voter une fois tous les cinq ans sans possibilité d'intervenir ensuite. Il est temps de faire confiance aux citoyens et de permettre le débat et l'expression de la souveraineté populaire en toutes circonstances.,"Fixer le droit de vote à 16 ans, instaurer le vote obligatoire et la reconnaissance du vote blanc comme suffrage exprimé et généraliser la représentation proportionnelle. Créer un droit de révoquer un élu en cours de mandat, par référendum, sur demande d'une partie du corps électoral. Instaurer le référendum d'initiative citoyenne et le droit des citoyens de proposer une loi. Rendre obligatoire le recours au référendum pour réviser la Constitution ou ratifier tout nouveau traité européen et garantir le respect de la décision populaire. Reconnaître le droit de vote aux élections locales pour les résidents étrangers en situation régulière, comme en bénéficient déjà les ressortissants des pays de l'Union européenne. Rendre effectif le principe du non-cumul des mandats, y compris dans le temps et abroger la loi NOTRe : contre les nouvelles féodalités et l'éloignement du pouvoir des citoyens, refonder l'organisation territoriale de la République et défendre les libertés communales. Démocratiser l'accès aux responsabilités politiques en permettant à chacun de prendre un congé républicain, sans risque pour son emploi ou ses droits quels qu'ils soient, en vue de se présenter à des élections."
3,4,Abolir la monarchie présidentielle,"La monarchie présidentielle actuelle marginalise le Parlement. Le président peut dissoudre l'Assemblée, mais celle-ci ne peut le renverser. Conséquence : les députés agissent plus souvent comme des godillots, obligés du monarque, que comme représentants du peuple souverain. Ce système est une anomalie démocratique.","Abolir la monarchie présidentielle en instaurant un régime parlementaire stable dans lequel le gouvernement détient le pouvoir exécutif et est responsable devant le Parlement, transférer le pouvoir de nomination au Parlement. Élire l'Assemblée nationale à la proportionnelle. Supprimer le Sénat et le Conseil économique, social et environnemental et créer une Assemblée de l'intervention populaire et du long terme émettant un avis sur l'impact écologique et social des lois. Supprimer la Cour de justice de la République et soumettre les membres du gouvernement à la justice ordinaire."
4,5,Une nouvelle étape des libertés et de l'émancipation personnelles,"Une Constitution, c'est la garantie pour le peuple des droits et des libertés qu'il se reconnaît lui-même. La 6e République sera l'occasion de consacrer de nouveaux droits civils et politiques mais aussi personnels, pour une nouvelle étape de l'émancipation humaine.","Constitutionnaliser la non-marchandisation du corps humain et le droit fondamental de disposer de soi en toutes circonstances : liberté de conscience, droit à la contraception et à l'interruption volontaire de grossesse, droit de mourir dans la dignité (y compris avec assistance), accès garanti à des soins palliatifs. Autoriser le changement d'état civil libre et gratuit devant un officier d'état civil. Établir la filiation par reconnaissance comme principe par défaut, reconnaître le droit à la procréation médicalement assistée (PMA) pour toutes les femmes, refuser la gestation pour autrui (GPA), faire prévaloir l'intérêt supérieur de l'enfant en toutes circonstances."
5,6,Une République universelle,Aucune liberté n'est possible sans l'égalité entre les personnes. Assez tergiversé ! Imposons l'égalité des droits ! Punissons ceux qui veulent s'y soustraire. Faisons progresser ensemble l'égalité en droits et en faits dans tous les domaines.,"Faire France de tout boisDéfendre le droit du sol intégral pour les enfants nés en France, y compris dans les Outre-merFaciliter l'accès à la nationalité française pour les personnes étrangères présentes légalement sur le territoireRétablir la carte de séjour de dix ans comme titre de séjour de référence pour les étrangers. Défendre le droit du sol intégral pour les enfants nés en France, y compris dans les Outre-mer. Faciliter l'accès à la nationalité française pour les personnes étrangères présentes légalement sur le territoire. Rétablir la carte de séjour de dix ans comme titre de séjour de référence pour les étrangers. Abolir les ségrégations et lutter contre toutes les formes de racismeIntroduire le récépissé de contrôle d'identité pour interdire le contrôle au facièsAssurer l'égalité réelle et combattre les discriminations fondées sur le genre, le handicap, l'apparence, la couleur de peau, l'âge, l'orientation sexuelle, la religion ou la croyance, l'origine sociale ou la fortune. Introduire le récépissé de contrôle d'identité pour interdire le contrôle au faciès. Assurer l'égalité réelle et combattre les discriminations fondées sur le genre, le handicap, l'apparence, la couleur de peau, l'âge, l'orientation sexuelle, la religion ou la croyance, l'origine sociale ou la fortune. Abolir le patriarcat dans l'État et la sociétéImposer l'égalité de conditions entre les femmes et les hommes dans les institutions politiques, administratives, économiques, syndicales et associativesRenforcer la loi et les moyens contre les violences faites aux femmesGénéraliser le Planning familial dans ses missions de formation et d'éducation pour la contraception et le droit à l'avortementAdopter une loi de lutte contre le sexismeAbolir la prostitution et garantir la dignité de la personne humaine. Imposer l'égalité de conditions entre les femmes et les hommes dans les institutions politiques, administratives, économiques, syndicales et associatives. Renforcer la loi et les moyens contre les violences faites aux femmes. Généraliser le Planning familial dans ses missions de formation et d'éducation pour la contraception et le droit à l'avortement. Adopter une loi de lutte contre le sexisme. Abolir la prostitution et garantir la dignité de la personne humaine. Assurer l'égalité de toutes les familles, de tous les enfants et des couples mariés et pacsés (en matière de succession, funérailles, pensions de réversion, etc.), ouvrir l'adoption plénière conjointe à tous les couples, mariés ou non."
6,7,Une République laïque,"La laïcité est attaquée de toutes parts et instrumentalisée par ses adversaires historiques, intégristes religieux et racistes qui veulent aussi en faire un prétexte pour flétrir les musulmans. La laïcité est la condition de la liberté de conscience de chacun, de l'égalité et de la fraternité entre tous les citoyens quelle que soit leur option philosophique ou spirituelle. Elle rend possible une action de l'État au service de l'intérêt général.","Étendre le bénéfice de l'application de la loi de 1905 à tout le territoire de la République (abroger le concordat d'Alsace-Moselle et les divers statuts spécifiques en vigueur dans les Outre-mer). Garantir la liberté de conscience et l'égalité de toutes les options spirituelles devant la loi. Combattre tous les communautarismes et l'usage politique des religions. Refuser les financements publics pour la construction des édifices religieux, des activités cultuelles et des établissements confessionnels. Refuser de rencontrer d'État à État ceux qui obligent nos ministres femmes à porter des accoutrements contraires à la dignité républicaine. Interdire la présence de ministres et préfets aux cérémonies religieuses et refuser le titre de chanoine de Latran pour le président de la République."
7,8,La révolution citoyenne dans les médias,"Il n'y a pas de démocratie possible sans information libre et pluraliste. Nos médias sont bien malades : de l'argent, de la recherche du sensationnalisme et de la tyrannie du buzz. La révolution citoyenne doit être menée sans faiblesse dans les médias !","Faire élire les présidents de France Télévisions et Radio France par le Parlement. Adopter une loi anti-concentration des médias, protégeant le secteur des intérêts financiers, favorisant la transformation des médias en coopératives de salariés et de lecteurs/auditeurs/téléspectateurs et attribuer des fréquences aux médias locaux et associatifs. Combattre la sondocratie : interdire les sondages dans les jours précédant les élections et adopter la proposition de loi sur les sondages votée à l'unanimité par le Sénat en 2011 et enterrée depuis. Créer un Conseil national des médias à la place du Conseil supérieur de l'audiovisuel pour en faire un véritable contre-pouvoir citoyen garantissant le pluralisme des opinions et des supports, ainsi que la qualité de tous les médias. Refonder les aides publiques à la presse pour les réserver aux médias d'information et mutualiser les outils de production (imprimeries, serveurs, distribution, etc.). Protéger les sources et l'indépendance des rédactions à l'égard des pouvoirs économiques et politiques par le renforcement du statut juridique des rédactions et une charte déontologique dans la convention collective."
8,9,La République garante des biens communs,"La République est un mot creux si elle ignore les conditions concrètes de la vie des gens. Elle ne peut qu'être sociale. Mais l'impératif écologique exige aussi davantage de la République et une République d'un genre nouveau. Le changement climatique menace l'existence de la vie humaine sur la planète. Tous semblables, nous sommes liés par un intérêt général humain : conserver la biosphère qui rend possible la vie humaine. Il est temps que la République soit écologiste.","Constitutionnaliser la règle verte : ne pas prélever sur la nature davantage que ce qu'elle peut reconstituer, ni produire plus que ce qu'elle peut supporter. Protéger les biens communs : l'air, l'eau, l'alimentation, le vivant, la santé, l'énergie, la monnaie ne sont pas des marchandises. Ils doivent être gérés démocratiquement : le droit de propriété doit être soumis à l'intérêt général, la propriété commune protégée et les services publics développés. Constitutionnaliser et rendre effectifs les droits au travail et au logement. Amnistier les syndicalistes et militants associatifs condamnés pour faits de luttes sociales, écologiques ou pour la défense des libertés, protéger les lanceurs d'alerte et investir les salariés d'une mission d'alerte sociale et environnementale."
9,10,Reconnaître la citoyenneté dans l'entreprise et des droits nouveaux aux salariés,"Comme le disait Jean Jaurès, « la grande Révolution a rendu les Français rois dans la cité et les a laissés serfs dans l'entreprise ». Le contrat de travail étant le seul contrat de subordination dans notre pays, il est temps de faire rentrer la citoyenneté dans l'entreprise.",Accorder de nouveaux droits de contrôle aux comités d'entreprise sur les finances de leur entreprise. Instaurer le droit pour les salariés à un vote de défiance à l'égard des dirigeants d'entreprise ou des projets stratégiques. Renforcer le pouvoir d'intervention des salariés contre les licenciements économiques par un droit de veto suspensif des comités d'entreprise.
